"pfas","crude_pct","crude_p","m2_pct","m2_p"
"PFNA",6.3,1.6e-11,3.7,5.73e-06
"PFOS",7.3,2.83e-13,2,0.0235
"PFOA",7.2,3.37e-13,3.8,1.39e-05
"PFHxS",7.7,4.5e-18,2.4,0.000839
"PFDA",2.6,0.00083,1.1,0.109
"Me-PFOSA-AcOH",0.3,0.652,-1.2,0.0716
