"method","outcome","n","psi","psi_low","psi_high","p"
"qgcomp","fib4_log",7454,-0.00582420353636919,-0.018839963147231,0.00719155607449261,0.38046085932564
"WQS","fib4_log",7454,0.00940481881225895,-0.00476017438393195,0.0235698120084498,0.193281035505277
